#{"t_start": 1733286343.4925592, "env_id": "Pusher-v5"}
r,l,t
-71.359622,100,46.854558
-71.07116,100,46.897923
-74.726373,100,46.941531
-78.112543,100,46.986054
-72.524637,100,47.029128
-71.807961,100,47.073713
-74.650056,100,47.116546
-79.247583,100,47.160795
-68.431969,100,47.203859
-74.928617,100,47.246308
-77.578766,100,47.291687
-74.103574,100,47.33418
-71.886966,100,47.379894
-74.60355,100,47.422946
-68.71901,100,47.468209
-75.017775,100,47.512004
-66.879992,100,47.554941
-69.821307,100,47.600876
-74.444838,100,47.643628
-73.221028,100,47.689102
-68.700968,100,48.233442
-70.483687,100,48.280906
-82.493538,100,48.323287
-78.311461,100,48.364735
-76.440652,100,48.407807
-73.361032,100,48.449091
-68.064581,100,48.492818
-78.032194,100,48.534548
-68.903891,100,48.575832
-66.965785,100,48.61971
-70.632281,100,48.661417
-68.500163,100,48.704996
-66.070641,100,48.746768
-71.9865,100,48.790244
-72.437517,100,48.832103
-73.718396,100,48.873858
-75.936083,100,48.918002
-71.190214,100,48.959533
-71.712347,100,49.003094
-72.823886,100,49.044854
-65.992974,100,49.087874
-67.13818,100,49.658946
-68.532969,100,49.703158
-74.749371,100,49.747396
-76.244215,100,49.790807
-68.962286,100,49.835894
-76.30603,100,49.879344
-67.249093,100,49.923675
-70.206994,100,49.96552
-71.883335,100,50.008983
-74.043691,100,50.050764
-66.673367,100,50.092059
-67.508555,100,50.13501
-70.944265,100,50.176378
-65.169876,100,50.219787
-73.719584,100,50.260986
-70.930813,100,50.302606
-71.323823,100,50.346155
-69.754526,100,50.387751
-67.375896,100,50.430489
-71.856291,100,50.471655
-66.849204,100,51.02292
-72.847008,100,51.069562
-68.710902,100,51.113053
-65.935942,100,51.157452
-76.289744,100,51.199273
-67.283432,100,51.242549
-65.365713,100,51.284744
-64.743611,100,51.326165
-63.115636,100,51.369219
-73.835407,100,51.410578
-68.99733,100,51.453589
-67.992229,100,51.495348
-62.671044,100,51.538081
-65.696969,100,51.580175
-67.156474,100,51.62164
-62.962467,100,51.664871
-67.138189,100,51.706575
-77.350535,100,51.749776
-67.622555,100,51.791354
-67.672152,100,51.832713
-67.320813,100,51.875956
-64.154995,100,52.435218
-70.686071,100,52.480107
-67.298727,100,52.523082
-70.669883,100,52.567427
-64.559527,100,52.610273
-67.579031,100,52.654562
-69.940763,100,52.697408
-71.037065,100,52.740424
-63.721314,100,52.785203
-69.509484,100,52.827779
-61.468002,100,52.871914
-64.650188,100,52.914552
-64.751575,100,52.958192
-64.676719,100,53.001168
-67.601993,100,53.044223
-63.505693,100,53.088989
