#{"t_start": 1733160959.42986, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
150.0,454,2353.563459
260.0,613,2357.254706
800.0,1354,2365.35905
215.0,603,2369.004274
260.0,588,2372.583272
80.0,286,2374.293467
290.0,610,2377.944941
125.0,366,2380.154204
210.0,494,2383.076253
105.0,351,2385.164808
160.0,458,2387.976754
210.0,435,2390.570693
155.0,412,2393.03083
155.0,326,2394.957742
75.0,256,2396.479829
210.0,482,2399.389601
135.0,356,2401.559917
275.0,725,2405.921381
210.0,622,2409.674711
210.0,587,2413.194664
125.0,417,2415.696636
210.0,591,2419.303614
80.0,325,2421.257003
210.0,512,2424.328009
65.0,279,2426.003349
155.0,466,2428.877346
150.0,355,2431.034215
210.0,495,2434.019456
230.0,619,2437.830252
210.0,506,2440.861559
105.0,318,2442.825283
215.0,576,2446.26371
100.0,282,2447.977367
630.0,1011,2454.043437
440.0,747,2458.545255
215.0,561,2461.972684
210.0,611,2465.686049
285.0,811,2470.548689
150.0,303,2472.319526
325.0,533,2475.527224
215.0,554,2478.841014
225.0,593,2482.429715
240.0,622,2486.195315
330.0,652,2490.164851
100.0,350,2492.26533
225.0,534,2495.503302
300.0,681,2499.583855
155.0,443,2502.281336
255.0,632,2506.096099
225.0,526,2509.258399
535.0,694,2513.410912
185.0,490,2516.434923
260.0,634,2520.294202
150.0,410,2522.796874
255.0,555,2526.144922
210.0,495,2529.147562
185.0,407,2531.614823
210.0,357,2533.766963
295.0,633,2537.561884
80.0,309,2539.444471
210.0,556,2542.863759
225.0,540,2546.155565
210.0,524,2549.323992
240.0,569,2552.821913
260.0,684,2556.967067
285.0,666,2560.99727
215.0,579,2564.533755
160.0,487,2567.518743
195.0,578,2571.046299
215.0,611,2574.733057
65.0,273,2576.385116
335.0,783,2581.143853
255.0,647,2585.068787
315.0,704,2589.36842
210.0,433,2591.999074
210.0,507,2595.077839
210.0,668,2599.125151
240.0,592,2602.7046
120.0,414,2605.240519
260.0,727,2609.658749
215.0,545,2612.992468
225.0,574,2616.544015
240.0,558,2619.919464
180.0,442,2622.662334
285.0,609,2626.400062
155.0,413,2628.924422
180.0,472,2631.793114
285.0,636,2635.692565
240.0,614,2639.473836
135.0,412,2642.017083
210.0,563,2645.467718
410.0,921,2651.098059
125.0,350,2653.279864
305.0,684,2657.450281
210.0,508,2660.595818
225.0,563,2664.081056
225.0,508,2667.240857
210.0,493,2670.294577
465.0,668,2674.415344
290.0,627,2678.247908
125.0,300,2680.093099
160.0,507,2683.194317
260.0,677,2687.385896
255.0,590,2690.964051
365.0,927,2696.61598
210.0,599,2700.314015
215.0,494,2703.338396
240.0,610,2707.114174
125.0,377,2709.407784
145.0,496,2712.468836
210.0,593,2716.097658
235.0,537,2719.400316
285.0,682,2723.590309
210.0,518,2726.8035
225.0,605,2730.553294
545.0,708,2734.858072
210.0,595,2738.494676
315.0,676,2742.697041
130.0,324,2744.725946
210.0,532,2748.008332
255.0,633,2751.896286
210.0,534,2755.206767
375.0,929,2760.863565
315.0,714,2765.184434
210.0,498,2768.288335
180.0,465,2771.128267
180.0,504,2774.234913
210.0,529,2777.479843
155.0,324,2779.459846
210.0,470,2782.361596
155.0,286,2784.134386
210.0,556,2787.576715
210.0,574,2791.13863
245.0,604,2794.869272
125.0,284,2796.653195
225.0,587,2800.304668
515.0,806,2805.305651
210.0,473,2808.290178
210.0,478,2811.254284
230.0,568,2814.757324
360.0,727,2819.249926
210.0,526,2822.491807
180.0,360,2824.720077
145.0,368,2826.999225
260.0,735,2831.531831
565.0,846,2836.762089
210.0,540,2840.118686
590.0,1016,2846.372707
210.0,530,2849.696056
135.0,462,2852.575177
515.0,617,2856.403622
225.0,570,2859.911742
210.0,508,2863.065943
210.0,471,2866.016098
210.0,582,2869.606608
155.0,366,2871.880453
155.0,382,2874.254594
210.0,502,2877.413639
135.0,453,2880.204422
210.0,507,2883.365921
210.0,524,2886.640824
590.0,856,2891.953964
215.0,538,2895.268245
215.0,514,2898.541384
120.0,469,2901.454596
290.0,766,2906.21762
290.0,584,2909.801951
215.0,536,2913.142805
65.0,272,2914.786272
50.0,264,2916.406641
210.0,528,2919.699761
475.0,1022,2926.057239
210.0,374,2928.353468
210.0,510,2931.543679
185.0,466,2934.391462
215.0,548,2937.793888
60.0,255,2939.342354
180.0,589,2942.985251
235.0,486,2946.032289
180.0,390,2948.450022
210.0,481,2951.453545
210.0,501,2954.564587
150.0,523,2957.850539
180.0,487,2960.819606
180.0,471,2963.766026
410.0,533,2967.077684
355.0,705,2971.442699
215.0,564,2974.939883
530.0,702,2979.311848
45.0,281,2981.047264
215.0,536,2984.360543
125.0,286,2986.152585
210.0,485,2989.137915
135.0,374,2991.46758
210.0,504,2994.614864
240.0,527,2997.886586
100.0,285,2999.687733
225.0,523,3002.936402
225.0,559,3006.389842
180.0,381,3008.718005
155.0,348,3010.901239
775.0,858,3016.222975
210.0,601,3019.997348
125.0,280,3021.746333
125.0,287,3023.542439
210.0,480,3026.531004
210.0,498,3029.638217
225.0,582,3033.27288
355.0,508,3036.433343
260.0,608,3040.171437
125.0,289,3041.955439
185.0,435,3044.612938
290.0,667,3048.761517
255.0,515,3051.982328
430.0,532,3055.302277
210.0,508,3058.469468
170.0,523,3061.784532
225.0,618,3065.670107
210.0,480,3068.619427
105.0,391,3071.076483
515.0,788,3075.971135
560.0,1033,3082.421763
210.0,482,3085.476382
100.0,277,3087.248393
80.0,283,3089.014961
225.0,599,3092.787827
65.0,271,3094.483699
210.0,421,3097.108317
80.0,267,3098.787488
125.0,378,3101.145117
135.0,451,3103.986273
155.0,457,3106.842411
290.0,659,3110.974693
155.0,388,3113.419761
260.0,690,3117.777672
210.0,518,3121.06885
100.0,276,3122.8193
210.0,513,3126.072412
160.0,387,3128.49289
165.0,456,3131.364128
330.0,771,3136.208401
290.0,861,3141.605014
135.0,445,3144.398801
240.0,707,3148.868914
100.0,305,3150.803802
30.0,310,3152.779474
210.0,484,3155.840176
125.0,390,3158.291299
180.0,452,3161.18977
180.0,521,3164.470361
440.0,618,3168.38749
80.0,287,3170.212209
410.0,648,3174.298783
240.0,723,3178.84358
315.0,654,3182.975499
240.0,548,3186.402887
225.0,643,3190.489516
240.0,614,3194.32983
340.0,850,3199.693854
150.0,355,3201.915843
125.0,372,3204.287069
210.0,491,3207.426566
155.0,376,3209.804952
180.0,520,3213.110659
210.0,560,3216.651232
225.0,561,3220.24421
105.0,478,3223.281385
210.0,504,3226.508955
210.0,501,3229.62547
210.0,487,3232.691268
210.0,469,3235.668475
240.0,640,3239.680397
440.0,590,3243.425007
345.0,702,3247.872791
210.0,398,3250.40554
320.0,647,3254.488795
140.0,375,3256.853132
180.0,488,3259.94259
65.0,285,3261.722674
425.0,812,3266.87312
35.0,275,3268.590813
135.0,372,3270.960807
155.0,416,3273.580837
185.0,536,3276.978664
125.0,347,3279.225856
225.0,472,3282.243209
100.0,290,3284.065072
210.0,452,3286.886729
290.0,560,3290.424917
130.0,289,3292.267948
60.0,299,3294.155032
150.0,466,3297.145566
195.0,458,3300.033436
175.0,431,3302.761936
70.0,253,3304.377449
225.0,552,3307.851159
180.0,512,3311.105074
75.0,271,3312.791967
225.0,637,3316.813159
80.0,285,3318.656458
210.0,383,3321.066121
215.0,466,3324.064164
130.0,417,3326.708723
215.0,516,3329.965747
230.0,557,3333.512196
225.0,617,3337.448573
155.0,349,3339.681355
215.0,575,3343.378635
35.0,266,3345.061396
90.0,300,3346.971315
155.0,368,3349.274293
350.0,639,3353.377819
210.0,514,3356.650413
180.0,468,3359.582806
285.0,551,3363.0845
220.0,502,3366.234482
210.0,525,3369.559698
210.0,520,3372.855848
390.0,922,3378.676894
425.0,828,3383.913012
180.0,484,3386.942791
210.0,487,3390.029964
330.0,688,3394.363314
210.0,422,3397.031065
155.0,434,3399.793311
80.0,287,3401.625966
240.0,469,3404.600493
320.0,608,3408.483336
125.0,325,3410.543999
210.0,424,3413.263139
210.0,533,3416.69163
180.0,448,3419.475363
240.0,526,3422.824773
155.0,284,3424.619427
260.0,544,3428.085914
125.0,275,3429.840307
210.0,420,3432.507291
225.0,489,3435.630298
285.0,596,3439.503844
345.0,636,3443.524128
485.0,714,3448.078109
425.0,527,3451.439819
415.0,523,3454.797487
125.0,377,3457.198917
180.0,345,3459.395963
225.0,512,3462.677699
310.0,615,3466.588299
210.0,371,3468.967853
135.0,304,3470.928928
225.0,522,3474.298667
180.0,469,3477.322306
210.0,453,3480.254251
